page,title,info
http://www.getty.edu/art/collection/objects/29682/workshop-of-the-calabresi-urn-white-on-red-ware-pithos-with-lid-etruscan-650-625-bc/?dz=,"""White-on-Red"" Ware pithos with Lid",A scene from 
http://www.getty.edu/art/collection/objects/9421/attributed-to-the-isidora-master-mummy-portrait-of-a-woman-romano-egyptian-ad-100/,Mummy Portrait of a Woman,"Scrupulously painted in encaustic wax and enlivened with gilding, every aspect of this Romano-Egyptian portrait identifies its owner as a person of substantial wealth and social position. The name Isidora (ICIDOPA) is written in Greek in red paint on the right upper shoulder of the mummy wrappings, and must refer to the deceased once encased in this “red shroud” mummy. The provenience of the original burial is unknown, however the curved top of the panel is commensurate with portraits found in Hawara, and a male “red-shroud” mummy has also been recovered there. The Getty Museum’s mummy of Herakleides (see "
http://www.getty.edu/art/collection/objects/10890/unknown-maker-cameo-glass-skyphos-roman-25-bc-ad-25/,Cameo Glass Skyphos,"This rare and opulent drinking cup is cast and carved in cameo glass, a technique of glass production primarily associated with the early Roman Empire and the elite and royal of the Julio-Claudian dynasty. Its manufacture is therefore mostly limited to the approximately fifty years between 25 BC – AD 25. The most popular color scheme is opaque white glass layered over translucent deep blue glass. Although the workshop or workshops that produced this glass has not been found, it is presumed to have been located in Rome, where many fragments have been found. More pieces have been found in Pompeii and around the Bay of Naples, where powerful Romans spent their leisure time."
http://www.getty.edu/art/collection/objects/6554/unknown-maker-statue-of-a-kore-the-elgin-kore-greek-about-475-bc/,Statue of a Kore (The Elgin Kore),"Known as the Elgin Kore, this sculpture was once in the collection of Thomas Bruce, 7th Earl of Elgin (1766-1841), who served as the British ambassador to the Ottoman Empire. The kore (young woman) stands with her weight on her left leg and her right leg forward. She wears a garment called a peplos, a rectangular piece of heavy cloth folded over at the top, pinned at the shoulders, and usually worn belted. Even in the statue's damaged state, the garment is identifiable by the overfold above the figure's waist. Little of the figure’s anatomy is actually visible, except for the contour of her right thigh, which is revealed as she pulls the fabric of her peplos to the side. In addition, the upper part of her bare upper arms is preserved in side views. This gesture is typical of the kore statue type, in which one hand was usually extended with an offering to the gods while the other grasped the fabric of the dress below the waist."
http://www.getty.edu/art/collection/objects/266018/auguste-rodin-christ-and-mary-magdalene-french-1908/,Christ and Mary Magdalene,"In this three-and-a-half foot marble sculpture, a dying man nailed to rock is mourned by a naked woman kneeling in front of him. Auguste Rodin titled this piece "
http://www.getty.edu/art/collection/objects/295865/unknown-maker-the-borghese-windsor-cabinet-italian-cabinet-french-stand-cabinet-about-1620-stand-before-1821/,The Borghese-Windsor Cabinet,"This piece of furniture is a specific kind of display cabinet called 'stipo' or 'studiolo' in Italian. Made in Rome, it belonged to Pope Paul V Borghese (ruled 1605-21), whose coat of arms (the eagle and the dragon) is featured above the central niche. Already in an English private collection by 1821 when it was offered for sale with its stand in London, the cabinet was then acquired by King George IV (ruled 1820-30). It remained in the British Royal Collection until 1959, when it was sold with the collection of Queen Mary. Such showpiece cabinets–brilliantly colored in their use of precious materials, but also intriguing with their multiple drawers–were the most prestigious display furniture in Europe from the late sixteenth to early eighteenth century. They were used to store such treasures as medals, gems, and small bronzes or ivories, as well as private documents. Designed to resemble the façade of a Baroque church, the Borghese-Windsor Cabinet is exceptional in its large size and sumptuous decoration. Expensive and difficult to cut and polish, the numerous hard stones ('pietre dure' in Italian) covering the front in elaborate geometrical and chromatic patterns demonstrate the rarity of this piece. The statuettes, with draperies in gilt bronze and with heads, hands, and legs in silver, add to its luxuriousness. The stand on which the cabinet sits was created for it in the 1820s, and is an impressive architectural piece of furniture in its own right. Its shape elegantly follows that of the cabinet, the front breaking forward in the center to conform to its footprint. With a mirrored backboard, it is composed of a sober podium on top of which twenty-four fluted Ionic columns in solid ebony support the upper table adorned with a frieze of lacquered brass foliated scrolls."
http://www.getty.edu/art/collection/objects/936/giambologna-giovanni-da-bologna-or-jean-de-boulogne-female-figure-possibly-venus-formerly-titled-bathsheba-flemish-1571-1573/,"Female Figure (possibly Venus, formerly titled Bathsheba)","An unidentified nude female figure is shown bathing in a graceful serpentine pose, which is characteristic of Mannerist elegance and known as "
http://www.getty.edu/art/collection/objects/7596/attributed-to-kleophrades-painter-attic-panathenaic-amphora-greek-attic-500-480-bc/?dz=,Attic Panathenaic Amphora,"The Greater Panathenaia, a state religious festival, honored Athena, the patron goddess of Athens. Held every four years, the festival included athletic and musical competitions, and amphorae filled with oil from Athena’s sacred olive trees were given as prizes in the Panathenaic Games."
http://www.getty.edu/art/collection/objects/7041/unknown-maker-statue-of-jupiter-marbury-hall-zeus-roman-100-1-bc/,Statue of Jupiter (Marbury Hall Zeus),"Portrayed as a mature bearded man, Zeus sits enthroned in his role as king of the gods. Originally he would have held his attributes: a scepter and a thunderbolt. The colossal god towers over his mortal observers. Documented in the 1570s at Tivoli near Rome, the statue once decorated the gardens of the Villa d'Este. It is named for having been in the collection at Marbury Hall in England."
http://www.getty.edu/art/collection/objects/6549/unknown-maker-statue-of-hercules-lansdowne-herakles-roman-about-ad-125/,Statue of Hercules (Lansdowne Herakles),"The Greek hero Herakles carries a club over his left shoulder and holds a lionskin in his right hand. These objects help identify the figure, since Herakles was often depicted with a club and the skin of the Nemean Lion, which he killed as his first labor. As is typical for depictions of Greek heroes, the young Herakles is shown nude, since the Greeks considered male nudity to be the highest form of beauty. No other god or hero is as frequently depicted in Greek and Roman art as is Herakles."
http://www.getty.edu/art/collection/objects/7303/unknown-maker-sculptural-group-of-a-seated-poet-and-sirens-2-with-unjoined-fragmentary-curls-304-greek-tarantine-350-300-bc/,Sculptural Group of a Seated Poet and Sirens (2) with unjoined fragmentary curls (304),"A seated man is flanked by Sirens, creatures part bird and part woman, in this nearly life-size terracotta group. In Greek mythology, the singing of the Sirens lured sailors to their deaths, and so these mythical figures are often connected with the deceased. The seated man is also a singer, as shown by his open mouth and the pick (plektron) with which he plays his now-missing lyre, once cradled in his left arm. His precise identity, however, is uncertain. He might be Orpheus, who was famous for his singing and who helped Jason and his crew safely sail past the Sirens. But in art of the fourth century BC, Orpheus is usually shown wearing an elaborately embroidered costume that is not seen here. Therefore, the seated figure may be a mortal in the guise of a poet or singer. The precise meaning of the group has been the subject of extensive speculation, but perhaps the singer should be seen as prevailing over the Sirens and triumphing over death."
http://www.getty.edu/art/collection/objects/10949/unknown-maker-male-harp-player-of-the-early-spedos-type-cycladic-2700-2300-bc/,Male Harp Player of the Early Spedos Type,"Illustrations of musical performances are scarce in Cycladic art, and this harpist is one of the few known examples. Sitting erect on a simple four-legged stool with his face lifted in song, he plays a frame harp—a stringed instrument that originated in the Near East—while resting his right hand on its sound box. The extension at the top, a common feature on ancient stringed instruments, facilitated the projection of the sound. Originally the figure’s eyes and hair were added in paint. This challenging composition of a seated player, stool, and delicate frame was shaped from a block of solid marble and then patiently ground down with pumice and emery, locally available abrasives. The resulting three-dimensional design is a masterpiece of Bronze Age sculpture."
http://www.getty.edu/art/collection/objects/5607/attributed-to-andre-charles-boulle-and-medallions-after-jean-varin-cabinet-on-stand-french-about-1675-1680/?dz=,Cabinet on Stand,"The decoration on this monumental cabinet refers to the French king Louis XIV's military victories. A panel of marquetry showing the cockerel of France standing triumphant over both the eagle of the Holy Roman Empire and the lion of Spain and the Spanish Netherlands decorates the central door. On the drawer above the door, gilt-bronze military trophies flank a medallion portrait of Louis XIV. In the Dutch Wars of 1672 to 1678, France fought simultaneously against the Dutch, Spanish, and Imperial armies, defeating them all. This cabinet celebrates the Treaty of Nijmegen, which concluded the war. Two large figures from Greek mythology, Hercules and Hippolyta, Queen of the Amazons, representatives of strength and bravery in war, appear to support the cabinet."
http://www.getty.edu/art/collection/objects/284651/gian-lorenzo-bernini-bust-of-pope-paul-v-italian-1621/?dz=,Bust of Pope Paul V,"Gian Lorenzo Bernini was just twenty-three years old when he received one of his first commissions to make a full-sized bust of Pope Paul V, the recently deceased uncle of his most important patron, Cardinal Scipione Borghese. "
http://www.getty.edu/art/collection/objects/7792/unknown-maker-statue-of-a-victorious-youth-greek-300-100-bc/?dz=,Statue of a Victorious Youth,"A naked youth stands with his weight on his right leg, crowning himself with a wreath, probably olive. The olive wreath was the prize for a victor in the Olympic Games and identifies this youth as a victorious athlete. The eyes of the figure were originally inlaid with colored stone or glass paste, and the nipples were inlaid with copper, creating naturalistic color contrasts."
http://www.getty.edu/art/collection/objects/198578/meissen-porcelain-manufactory-model-by-johann-joachim-kandler-a-turkey-german-about-1733/,A Turkey,"Measuring almost two feet in height, this life-size turkey was made as part of an extraordinary commission from Augustus the Strong, elector of Saxony and king of Poland, who envisioned a life-size porcelain menagerie for his Japanese Palace in Dresden. Though he had already amassed an unrivaled collection of Chinese and Japanese porcelain, Augustus wanted these new figures to be produced by his own factory at Meissen. When Augustus placed the order for these porcelain animals, the Meissen factory was still of very limited experience, having only discovered the formula for "
http://www.getty.edu/art/collection/objects/336737/unknown-maker-engraved-scaraboid-with-perseus-greek-400-350-bc/,Engraved Scaraboid with Perseus,"The hero Perseus tiptoes forward to the left on the groundline of this gem, perhaps in pursuit of the gorgon Medusa. He wears a winged diadem and winged sandals with a cloak draped over his right shoulder. One of the two spears held in his right hand has a sickle blade, the dorydepanon, attached to the shaft. He raises his left hand towards his mouth."
http://www.getty.edu/art/collection/objects/1207/adriaen-de-vries-juggling-man-dutch-about-1615/,Juggling Man,"At a crucial moment in an acrobatic juggling trick, this male figure holds one plate perched precariously on the fingertips of his right hand while another plate, held by centrifugal force, seems suspended. Further complicating the pose, the man looks at the ground and steps on a bellows. Dutch artist Adriaen de Vries based the composition of this bronze statue on a famous Hellenistic marble of a dancing faun, which Michelangelo was believed to have restored while it was in the collection of the Medici in Florence. Although de Vries borrowed the original statue's composition, he replaced the faun's foot organ with a bellows and substituted plates for the faun's cymbals."
http://www.getty.edu/art/collection/objects/336764/unknown-maker-intaglio-with-bust-of-antinous-roman-ad-131-138/,Intaglio with Bust of Antinous,"This gem depicts Antinous, the young companion and lover of Emperor Hadrian (AD 117-138), who drowned in the River Nile during their visit to Egypt in AD 130. The grief-stricken emperor instituted a cult in honor of the youth, who was revered as a semi-divine hero. Antinous is shown here in profil facing to the left; a fibula pins his chlamys in place at his left shoulder. Over his right shoulder, he carries a hunting spear. Behind his left shoulder is a fragmentary vertical inscription written in retrograde Greek letters, beginning ΑΝΤΟ…, perhaps the name of the gem engraver.

The intaglio is fragmentary; a portion of the bust, fibula, and drapery have been restored in gold as part of a more modern mount."
http://www.getty.edu/art/collection/objects/220395/jean-antoine-houdon-bust-of-marie-sebastien-charles-francois-fontaine-de-bire-french-1785/,Bust of Marie-Sébastien-Charles-François Fontaine de Biré,Through exacting 
http://www.getty.edu/art/collection/objects/1138/fontana-workshop-possibly-orazio-fontana-or-possibly-flaminio-fontana-basin-with-deucalion-and-pyrrha-italian-about-1565-1575/,Basin with Deucalion and Pyrrha,"Filled with scented water, basins of this type were offered to dining guests for washing their hands between the courses of a meal. This shallow and splendidly painted example, however, was probably used for display. "
http://www.getty.edu/art/collection/objects/5470/attributed-to-david-roentgen-gilt-bronze-plaque-attributed-to-pierre-gouthiere-mounts-by-francois-remond-rolltop-desk-german-1787-1788/,Rolltop Desk,Made in the 
http://www.getty.edu/art/collection/objects/336767/dioskourides-intaglio-with-bust-of-demosthenes-roman-about-25-bc/,Intaglio with Bust of Demosthenes,"The intaglio is deeply engraved with a portrait bust of the Greek orator Demosthenes, who wears a mantle over his right shoulder; he faces towards his left with furrowed brows. Demosthenes is shown with a full beard and mustache. On the right of the gem is an inscription with the artist Dioskourides's signature in Greek."
http://www.getty.edu/art/collection/objects/327217/unknown-maker-applique-depicting-the-sun-god-usil-etruscan-500-475-bc/?dz=,Appliqué depicting the Sun God Usil,"A bronze appliqué in low relief represents the solar deity Usil, the equivalent of Helios/Sol in Greek and Roman religion. On this figure, the radiate crown behind his head and spreading wings identify the god. Usil wears a diadem, necklace, and a mantle over his shoulders, which falls to either side in pleated folds. Nude from the groin up, he has disproportionately long arms and large hands. At the top of the thighs the figure merges into a broad plate decorated with undulating lines indicating the waves from which the sun god emerges and sinks at daybreak and dusk. A projecting lug is hollow behind to accommodate a wood or metal structure, to which the relief was attached by three pairs of rivets. 

The rare examples of Usil appliqués are associated with burials, which often held grave offerings of funerary carts and chariots. Driven in ceremonial processions, elaborate wood vehicles were covered with sheet bronze repoussé and fitted with cast animal-head protomes. Figural reliefs such as this are interpreted as decorative attachments on the sideboards, used to cover structural elements of the vehicle."
http://www.getty.edu/art/collection/objects/333351/unknown-maker-funerary-relief-of-hadirat-katthina-daughter-of-sha'ad-palmyran-ad-200-220/,"Funerary relief of Hadirat Katthina, daughter of Sha'ad","Hadirat Katthina’s portrait, carved in high relief, shares many features with the approximately 3700 other Palmyran funerary reliefs known today. She faces forward, eyes open and alert, with incised eyebrows, irises, and pupils. Her oval face, turned slightly to her left, has a thin nose with wide nostrils, small mouth with full, closed lips, and dimpled chin. A long veil with scalloped upper edges covers most of her head along with a tightly bound “turban” with a central loop, but her long, thick hair nonetheless flows out from a central part in abundant waves. She wears a light, long-sleeved tunic and pulls a heavier fringed mantle tightly around her. Her right hand protrudes from her garment and her elongated fingers grasp its edge in a gesture associated with the virtue of modesty in ancient Roman funerary reliefs. Her lowered left arm crosses her body diagonally and the hand, with fingers extended, rests below her right elbow. Her long neck, with the pronounced fleshy folds conventionally called “Venus rings” by scholars of ancient art, is adorned by a beaded necklace, and she also wears pendant earrings and a jeweled ring on the now-broken little finger of her left hand. There are also slight losses to her right little finger and the tip of her nose."
